S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
1931,17/08/2020,Chhattisgarh,15471,5095,10235,141
1932,18/08/2020,Chhattisgarh,16025,5277,10598,150
1933,19/08/2020,Chhattisgarh,16833,5828,10847,158
1934,20/08/2020,Chhattisgarh,17485,6139,11185,161
1935,21/08/2020,Chhattisgarh,18501,6594,11739,168
1936,22/08/2020,Chhattisgarh,19510,7308,12022,180
1937,23/08/2020,Chhattisgarh,20078,7495,12394,189
1938,24/08/2020,Chhattisgarh,20918,7790,12931,197
1939,25/08/2020,Chhattisgarh,22054,8424,13424,206
1940,26/08/2020,Chhattisgarh,23341,9388,13732,221
1941,27/08/2020,Chhattisgarh,24550,10174,14145,231
1942,28/08/2020,Chhattisgarh,25988,11136,14607,245
1943,29/08/2020,Chhattisgarh,27233,11873,15109,251
1944,30/08/2020,Chhattisgarh,28746,12666,15818,262
1945,31/08/2020,Chhattisgarh,30092,13520,16303,269
1946,01/09/2020,Chhattisgarh,31503,14237,16989,277
1947,02/09/2020,Chhattisgarh,33387,15533,17567,287
1948,03/09/2020,Chhattisgarh,35683,17164,18220,299
1949,04/09/2020,Chhattisgarh,37967,18702,18950,315
1950,05/09/2020,Chhattisgarh,40634,20672,19625,337
1951,06/09/2020,Chhattisgarh,43163,22320,20487,356
1952,07/09/2020,Chhattisgarh,45263,23685,21198,380
1953,08/09/2020,Chhattisgarh,47280,24708,22177,395
1954,09/09/2020,Chhattisgarh,50114,26915,22792,407
1955,10/09/2020,Chhattisgarh,52932,28041,24414,477
1956,11/09/2020,Chhattisgarh,55680,29332,25855,493
1957,12/09/2020,Chhattisgarh,58643,31001,27123,519
1958,13/09/2020,Chhattisgarh,61763,33246,27978,539
1959,14/09/2020,Chhattisgarh,63991,31505,31931,555
1960,15/09/2020,Chhattisgarh,67327,33645,33109,573
1961,16/09/2020,Chhattisgarh,70777,35909,34279,589
1962,17/09/2020,Chhattisgarh,73966,37470,35885,611
1963,18/09/2020,Chhattisgarh,77775,36036,41111,628
1964,19/09/2020,Chhattisgarh,81617,36580,44392,645
1965,20/09/2020,Chhattisgarh,84234,37489,46081,664
1966,21/09/2020,Chhattisgarh,86183,37853,47653,677
1967,22/09/2020,Chhattisgarh,88181,37927,49564,690
1968,23/09/2020,Chhattisgarh,90917,38198,52001,718
1969,24/09/2020,Chhattisgarh,93351,35850,56773,728
1970,25/09/2020,Chhattisgarh,95623,36038,58833,752
1971,26/09/2020,Chhattisgarh,98565,30928,66860,777
1972,27/09/2020,Chhattisgarh,102461,30689,70955,817
1973,28/09/2020,Chhattisgarh,104733,31661,72224,848
1974,29/09/2020,Chhattisgarh,108458,33044,74537,877
1975,30/09/2020,Chhattisgarh,110655,31225,78514,916
1976,01/10/2020,Chhattisgarh,113602,30927,81718,957
1977,02/10/2020,Chhattisgarh,116153,30468,84699,986
1978,03/10/2020,Chhattisgarh,118790,29693,88095,1002
1979,04/10/2020,Chhattisgarh,121400,29292,91077,1031
1980,05/10/2020,Chhattisgarh,123324,28548,93731,1045
1981,06/10/2020,Chhattisgarh,126005,27857,97067,1081
1982,07/10/2020,Chhattisgarh,128893,27238,100551,1104
1983,08/10/2020,Chhattisgarh,131739,26777,103828,1134
1984,09/10/2020,Chhattisgarh,134612,27427,106027,1158
1985,10/10/2020,Chhattisgarh,137570,27439,108935,1196
1986,11/10/2020,Chhattisgarh,140258,27369,111654,1235
1987,12/10/2020,Chhattisgarh,142372,27348,113771,1253
1988,13/10/2020,Chhattisgarh,145247,27421,116540,1286
1989,14/10/2020,Chhattisgarh,147866,27208,119352,1306
1990,15/10/2020,Chhattisgarh,150696,27809,121548,1339
1991,16/10/2020,Chhattisgarh,153515,28187,123943,1385
1992,17/10/2020,Chhattisgarh,155987,27693,126869,1425
1993,18/10/2020,Chhattisgarh,158502,27180,129883,1439
1994,19/10/2020,Chhattisgarh,160396,26750,132168,1478
1995,20/10/2020,Chhattisgarh,162772,25979,135259,1534
1996,21/10/2020,Chhattisgarh,165279,25709,137986,1584
1997,22/10/2020,Chhattisgarh,167639,25795,140216,1628
1998,23/10/2020,Chhattisgarh,170130,25238,143212,1680
1999,24/10/2020,Chhattisgarh,172580,24620,146222,1738
2000,25/10/2020,Chhattisgarh,174591,23899,148899,1793
2001,26/10/2020,Chhattisgarh,175959,23743,150398,1818
2002,27/10/2020,Chhattisgarh,177608,22093,153654,1861
2003,28/10/2020,Chhattisgarh,179654,21693,156080,1881
2004,29/10/2020,Chhattisgarh,181583,22167,157480,1936
2005,30/10/2020,Chhattisgarh,183588,22331,159268,1989
2006,31/10/2020,Chhattisgarh,185306,22350,160918,2038
2007,01/11/2020,Chhattisgarh,187270,22090,163079,2101
2008,02/11/2020,Chhattisgarh,188813,22126,164537,2150
2009,03/11/2020,Chhattisgarh,190513,21914,166391,2208
2010,04/11/2020,Chhattisgarh,192237,21770,168201,2266
2011,05/11/2020,Chhattisgarh,194499,22773,169410,2316
2012,06/11/2020,Chhattisgarh,196233,23113,170760,2360
2013,07/11/2020,Chhattisgarh,197991,23066,172513,2412
2014,08/11/2020,Chhattisgarh,199562,23256,173872,2434
2015,09/11/2020,Chhattisgarh,200937,22361,176129,2447
2016,10/11/2020,Chhattisgarh,202523,21221,178838,2464
2017,11/11/2020,Chhattisgarh,204202,20725,180995,2482
2018,12/11/2020,Chhattisgarh,205923,20226,183190,2507
2019,13/11/2020,Chhattisgarh,207740,20061,185152,2527
2020,14/11/2020,Chhattisgarh,209288,19221,187522,2545
2021,15/11/2020,Chhattisgarh,210004,19275,188167,2562
2022,16/11/2020,Chhattisgarh,210534,19087,188869,2578
2023,17/11/2020,Chhattisgarh,211644,18577,190463,2604
2024,18/11/2020,Chhattisgarh,213365,18561,192181,2623
2025,19/11/2020,Chhattisgarh,215413,18770,193997,2646
2026,20/11/2020,Chhattisgarh,217562,19421,195469,2672
2027,21/11/2020,Chhattisgarh,219404,19817,196896,2691
2028,22/11/2020,Chhattisgarh,221688,20659,198316,2713
2029,23/11/2020,Chhattisgarh,223436,21393,199311,2732
2030,24/11/2020,Chhattisgarh,225497,21926,200825,2746
2031,25/11/2020,Chhattisgarh,227326,22815,201744,2767
2032,26/11/2020,Chhattisgarh,229203,24676,201744,2783
2033,27/11/2020,Chhattisgarh,230956,23957,204198,2801
2034,28/11/2020,Chhattisgarh,232835,21839,208183,2813
2035,29/11/2020,Chhattisgarh,234725,20978,210917,2830
2036,30/11/2020,Chhattisgarh,235998,20641,212517,2840
2037,01/12/2020,Chhattisgarh,237322,19635,214826,2861
2038,09/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2039,10/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2040,11/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2041,12/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2042,13/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2043,14/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2044,15/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2045,16/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2046,17/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2047,18/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2048,19/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2049,20/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2050,21/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2051,22/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2052,23/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
2053,24/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2054,25/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2055,26/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2056,27/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2057,28/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2058,29/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2059,30/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2060,31/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2061,01/06/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
2062,02/06/2020,Dadra and Nagar Haveli and Daman and Diu,3,2,1,0
2063,03/06/2020,Dadra and Nagar Haveli and Daman and Diu,4,3,1,0
2064,04/06/2020,Dadra and Nagar Haveli and Daman and Diu,8,7,1,0
2065,05/06/2020,Dadra and Nagar Haveli and Daman and Diu,12,11,1,0
2066,06/06/2020,Dadra and Nagar Haveli and Daman and Diu,14,13,1,0
2067,07/06/2020,Dadra and Nagar Haveli and Daman and Diu,19,18,1,0
2068,08/06/2020,Dadra and Nagar Haveli and Daman and Diu,20,18,2,0
2069,09/06/2020,Dadra and Nagar Haveli and Daman and Diu,22,20,2,0
2070,10/06/2020,Dadra and Nagar Haveli and Daman and Diu,22,20,2,0
2071,11/06/2020,Dadra and Nagar Haveli and Daman and Diu,28,26,2,0
2072,12/06/2020,Dadra and Nagar Haveli and Daman and Diu,30,28,2,0
2073,13/06/2020,Dadra and Nagar Haveli and Daman and Diu,30,28,2,0
2074,14/06/2020,Dadra and Nagar Haveli and Daman and Diu,35,33,2,0
2075,15/06/2020,Dadra and Nagar Haveli and Daman and Diu,36,34,2,0
2076,16/06/2020,Dadra and Nagar Haveli and Daman and Diu,36,31,5,0
2077,17/06/2020,Dadra and Nagar Haveli and Daman and Diu,45,36,9,0
2078,18/06/2020,Dadra and Nagar Haveli and Daman and Diu,57,45,12,0
2079,19/06/2020,Dadra and Nagar Haveli and Daman and Diu,58,45,13,0
2080,20/06/2020,Dadra and Nagar Haveli and Daman and Diu,62,48,14,0
2081,21/06/2020,Dadra and Nagar Haveli and Daman and Diu,68,42,26,0
2082,22/06/2020,Dadra and Nagar Haveli and Daman and Diu,88,62,26,0
2083,23/06/2020,Dadra and Nagar Haveli and Daman and Diu,91,64,27,0
2084,24/06/2020,Dadra and Nagar Haveli and Daman and Diu,120,91,29,0
2085,25/06/2020,Dadra and Nagar Haveli and Daman and Diu,120,90,30,0
2086,26/06/2020,Dadra and Nagar Haveli and Daman and Diu,155,123,32,0
2087,27/06/2020,Dadra and Nagar Haveli and Daman and Diu,163,122,41,0
2088,28/06/2020,Dadra and Nagar Haveli and Daman and Diu,177,122,55,0
2089,29/06/2020,Dadra and Nagar Haveli and Daman and Diu,178,118,60,0
2090,30/06/2020,Dadra and Nagar Haveli and Daman and Diu,203,126,77,0
2091,01/07/2020,Dadra and Nagar Haveli and Daman and Diu,213,131,82,0
2092,02/07/2020,Dadra and Nagar Haveli and Daman and Diu,215,129,86,0
2093,03/07/2020,Dadra and Nagar Haveli and Daman and Diu,230,141,89,0
2094,04/07/2020,Dadra and Nagar Haveli and Daman and Diu,257,161,96,0
2095,05/07/2020,Dadra and Nagar Haveli and Daman and Diu,271,175,96,0
2096,06/07/2020,Dadra and Nagar Haveli and Daman and Diu,271,165,106,0
2097,07/07/2020,Dadra and Nagar Haveli and Daman and Diu,297,183,114,0
2098,08/07/2020,Dadra and Nagar Haveli and Daman and Diu,405,222,183,0
2099,09/07/2020,Dadra and Nagar Haveli and Daman and Diu,408,224,184,0
2100,10/07/2020,Dadra and Nagar Haveli and Daman and Diu,411,222,189,0
2101,11/07/2020,Dadra and Nagar Haveli and Daman and Diu,459,248,211,0
2102,12/07/2020,Dadra and Nagar Haveli and Daman and Diu,471,245,226,0
2103,13/07/2020,Dadra and Nagar Haveli and Daman and Diu,479,234,245,0
2104,14/07/2020,Dadra and Nagar Haveli and Daman and Diu,495,226,268,1
2105,15/07/2020,Dadra and Nagar Haveli and Daman and Diu,520,209,310,1
2106,16/07/2020,Dadra and Nagar Haveli and Daman and Diu,539,180,357,2
2107,17/07/2020,Dadra and Nagar Haveli and Daman and Diu,552,179,371,2
2108,18/07/2020,Dadra and Nagar Haveli and Daman and Diu,585,182,401,2
2109,19/07/2020,Dadra and Nagar Haveli and Daman and Diu,602,186,414,2
2110,20/07/2020,Dadra and Nagar Haveli and Daman and Diu,605,189,414,2
2111,21/07/2020,Dadra and Nagar Haveli and Daman and Diu,684,234,448,2
2112,22/07/2020,Dadra and Nagar Haveli and Daman and Diu,705,240,463,2
2113,23/07/2020,Dadra and Nagar Haveli and Daman and Diu,733,257,474,2
2114,24/07/2020,Dadra and Nagar Haveli and Daman and Diu,770,279,489,2
2115,25/07/2020,Dadra and Nagar Haveli and Daman and Diu,815,301,512,2
2116,26/07/2020,Dadra and Nagar Haveli and Daman and Diu,860,328,530,2
2117,27/07/2020,Dadra and Nagar Haveli and Daman and Diu,914,362,550,2
2118,28/07/2020,Dadra and Nagar Haveli and Daman and Diu,946,380,564,2
2119,29/07/2020,Dadra and Nagar Haveli and Daman and Diu,982,384,596,2
2120,30/07/2020,Dadra and Nagar Haveli and Daman and Diu,1026,376,648,2
2121,31/07/2020,Dadra and Nagar Haveli and Daman and Diu,1064,394,668,2
2122,01/08/2020,Dadra and Nagar Haveli and Daman and Diu,1100,412,686,2
2123,02/08/2020,Dadra and Nagar Haveli and Daman and Diu,1145,418,725,2
2124,03/08/2020,Dadra and Nagar Haveli and Daman and Diu,1184,416,766,2
2125,04/08/2020,Dadra and Nagar Haveli and Daman and Diu,1274,412,860,2
2126,05/08/2020,Dadra and Nagar Haveli and Daman and Diu,1325,404,919,2
2127,06/08/2020,Dadra and Nagar Haveli and Daman and Diu,1366,404,960,2
2128,07/08/2020,Dadra and Nagar Haveli and Daman and Diu,1391,416,973,2
2129,08/08/2020,Dadra and Nagar Haveli and Daman and Diu,1437,421,1014,2
2130,09/08/2020,Dadra and Nagar Haveli and Daman and Diu,1456,417,1037,2
2131,10/08/2020,Dadra and Nagar Haveli and Daman and Diu,1564,441,1121,2
2132,11/08/2020,Dadra and Nagar Haveli and Daman and Diu,1613,444,1167,2
2133,12/08/2020,Dadra and Nagar Haveli and Daman and Diu,1653,442,1209,2
2134,13/08/2020,Dadra and Nagar Haveli and Daman and Diu,1696,446,1248,2
2135,14/08/2020,Dadra and Nagar Haveli and Daman and Diu,1752,458,1292,2
2136,15/08/2020,Dadra and Nagar Haveli and Daman and Diu,1797,464,1331,2
2137,16/08/2020,Dadra and Nagar Haveli and Daman and Diu,1843,457,1384,2
2138,17/08/2020,Dadra and Nagar Haveli and Daman and Diu,1878,445,1431,2
2139,18/08/2020,Dadra and Nagar Haveli and Daman and Diu,1908,447,1459,2
2140,19/08/2020,Dadra and Nagar Haveli and Daman and Diu,1951,425,1524,2
2141,20/08/2020,Dadra and Nagar Haveli and Daman and Diu,1995,389,1604,2
2142,21/08/2020,Dadra and Nagar Haveli and Daman and Diu,2030,401,1627,2
2143,22/08/2020,Dadra and Nagar Haveli and Daman and Diu,2082,428,1652,2
2144,23/08/2020,Dadra and Nagar Haveli and Daman and Diu,2120,416,1702,2
2145,24/08/2020,Dadra and Nagar Haveli and Daman and Diu,2161,406,1753,2
2146,25/08/2020,Dadra and Nagar Haveli and Daman and Diu,2181,393,1786,2
2147,26/08/2020,Dadra and Nagar Haveli and Daman and Diu,2203,381,1820,2
2148,27/08/2020,Dadra and Nagar Haveli and Daman and Diu,2228,364,1862,2
2149,28/08/2020,Dadra and Nagar Haveli and Daman and Diu,2266,348,1916,2
2150,29/08/2020,Dadra and Nagar Haveli and Daman and Diu,2290,328,1960,2
2151,30/08/2020,Dadra and Nagar Haveli and Daman and Diu,2306,306,1998,2
2152,31/08/2020,Dadra and Nagar Haveli and Daman and Diu,2340,296,2042,2
2153,01/09/2020,Dadra and Nagar Haveli and Daman and Diu,2367,284,2081,2
2154,02/09/2020,Dadra and Nagar Haveli and Daman and Diu,2386,262,2122,2
2155,03/09/2020,Dadra and Nagar Haveli and Daman and Diu,2435,292,2141,2
2156,04/09/2020,Dadra and Nagar Haveli and Daman and Diu,2450,294,2154,2
2157,05/09/2020,Dadra and Nagar Haveli and Daman and Diu,2467,285,2180,2
2158,06/09/2020,Dadra and Nagar Haveli and Daman and Diu,2537,301,2234,2
2159,07/09/2020,Dadra and Nagar Haveli and Daman and Diu,2575,302,2271,2
2160,08/09/2020,Dadra and Nagar Haveli and Daman and Diu,2590,297,2291,2
2161,09/09/2020,Dadra and Nagar Haveli and Daman and Diu,2617,294,2321,2
2162,10/09/2020,Dadra and Nagar Haveli and Daman and Diu,2643,295,2346,2
2163,11/09/2020,Dadra and Nagar Haveli and Daman and Diu,2671,294,2375,2
2164,12/09/2020,Dadra and Nagar Haveli and Daman and Diu,2695,280,2413,2
2165,13/09/2020,Dadra and Nagar Haveli and Daman and Diu,2725,279,2444,2
2166,14/09/2020,Dadra and Nagar Haveli and Daman and Diu,2745,255,2488,2
2167,15/09/2020,Dadra and Nagar Haveli and Daman and Diu,2763,248,2513,2
2168,16/09/2020,Dadra and Nagar Haveli and Daman and Diu,2783,229,2552,2
2169,17/09/2020,Dadra and Nagar Haveli and Daman and Diu,2810,233,2575,2
2170,18/09/2020,Dadra and Nagar Haveli and Daman and Diu,2831,221,2608,2
2171,19/09/2020,Dadra and Nagar Haveli and Daman and Diu,2859,218,2639,2
2172,20/09/2020,Dadra and Nagar Haveli and Daman and Diu,2887,208,2677,2
2173,21/09/2020,Dadra and Nagar Haveli and Daman and Diu,2924,229,2693,2
2174,22/09/2020,Dadra and Nagar Haveli and Daman and Diu,2933,220,2711,2
2175,23/09/2020,Dadra and Nagar Haveli and Daman and Diu,2944,198,2744,2
2176,24/09/2020,Dadra and Nagar Haveli and Daman and Diu,2962,205,2755,2
2177,25/09/2020,Dadra and Nagar Haveli and Daman and Diu,2977,190,2785,2
2178,26/09/2020,Dadra and Nagar Haveli and Daman and Diu,2989,182,2805,2
2179,27/09/2020,Dadra and Nagar Haveli and Daman and Diu,2996,163,2831,2
2180,28/09/2020,Dadra and Nagar Haveli and Daman and Diu,3002,152,2848,2
2181,29/09/2020,Dadra and Nagar Haveli and Daman and Diu,3012,133,2877,2
2182,30/09/2020,Dadra and Nagar Haveli and Daman and Diu,3032,120,2910,2
2183,01/10/2020,Dadra and Nagar Haveli and Daman and Diu,3040,109,2929,2
2184,02/10/2020,Dadra and Nagar Haveli and Daman and Diu,3054,113,2939,2
2185,03/10/2020,Dadra and Nagar Haveli and Daman and Diu,3061,100,2959,2
2186,04/10/2020,Dadra and Nagar Haveli and Daman and Diu,3070,101,2967,2
2187,05/10/2020,Dadra and Nagar Haveli and Daman and Diu,3087,105,2980,2
2188,06/10/2020,Dadra and Nagar Haveli and Daman and Diu,3092,99,2991,2
2189,07/10/2020,Dadra and Nagar Haveli and Daman and Diu,3103,101,3000,2
2190,08/10/2020,Dadra and Nagar Haveli and Daman and Diu,3120,108,3010,2
2191,09/10/2020,Dadra and Nagar Haveli and Daman and Diu,3132,105,3025,2
2192,10/10/2020,Dadra and Nagar Haveli and Daman and Diu,3140,101,3037,2
2193,11/10/2020,Dadra and Nagar Haveli and Daman and Diu,3152,100,3050,2
2194,12/10/2020,Dadra and Nagar Haveli and Daman and Diu,3163,102,3059,2
2195,13/10/2020,Dadra and Nagar Haveli and Daman and Diu,3168,102,3064,2
2196,14/10/2020,Dadra and Nagar Haveli and Daman and Diu,3168,85,3081,2
2197,15/10/2020,Dadra and Nagar Haveli and Daman and Diu,3171,79,3090,2
2198,16/10/2020,Dadra and Nagar Haveli and Daman and Diu,3172,71,3099,2
2199,17/10/2020,Dadra and Nagar Haveli and Daman and Diu,3177,66,3109,2
2200,18/10/2020,Dadra and Nagar Haveli and Daman and Diu,3180,59,3119,2
2201,19/10/2020,Dadra and Nagar Haveli and Daman and Diu,3183,54,3127,2
2202,20/10/2020,Dadra and Nagar Haveli and Daman and Diu,3185,43,3140,2
2203,21/10/2020,Dadra and Nagar Haveli and Daman and Diu,3194,39,3153,2
2204,22/10/2020,Dadra and Nagar Haveli and Daman and Diu,3207,44,3161,2
2205,23/10/2020,Dadra and Nagar Haveli and Daman and Diu,3213,47,3164,2
2206,24/10/2020,Dadra and Nagar Haveli and Daman and Diu,3220,51,3167,2
2207,25/10/2020,Dadra and Nagar Haveli and Daman and Diu,3225,50,3173,2
2208,26/10/2020,Dadra and Nagar Haveli and Daman and Diu,3228,51,3175,2
2209,27/10/2020,Dadra and Nagar Haveli and Daman and Diu,3228,50,3176,2
2210,28/10/2020,Dadra and Nagar Haveli and Daman and Diu,3231,48,3181,2
2211,29/10/2020,Dadra and Nagar Haveli and Daman and Diu,3237,51,3184,2
2212,30/10/2020,Dadra and Nagar Haveli and Daman and Diu,3243,49,3192,2
2213,31/10/2020,Dadra and Nagar Haveli and Daman and Diu,3248,49,3197,2
2214,01/11/2020,Dadra and Nagar Haveli and Daman and Diu,3251,39,3210,2
2215,02/11/2020,Dadra and Nagar Haveli and Daman and Diu,3255,34,3219,2
2216,03/11/2020,Dadra and Nagar Haveli and Daman and Diu,3257,34,3221,2
2217,04/11/2020,Dadra and Nagar Haveli and Daman and Diu,3257,30,3225,2
2218,05/11/2020,Dadra and Nagar Haveli and Daman and Diu,3262,32,3228,2
2219,06/11/2020,Dadra and Nagar Haveli and Daman and Diu,3268,36,3230,2
2220,07/11/2020,Dadra and Nagar Haveli and Daman and Diu,3272,37,3233,2
2221,08/11/2020,Dadra and Nagar Haveli and Daman and Diu,3273,32,3239,2
2222,09/11/2020,Dadra and Nagar Haveli and Daman and Diu,3274,26,3246,2
2223,10/11/2020,Dadra and Nagar Haveli and Daman and Diu,3274,23,3249,2
2224,11/11/2020,Dadra and Nagar Haveli and Daman and Diu,3275,20,3253,2
2225,12/11/2020,Dadra and Nagar Haveli and Daman and Diu,3275,18,3255,2
2226,13/11/2020,Dadra and Nagar Haveli and Daman and Diu,3278,21,3255,2
2227,14/11/2020,Dadra and Nagar Haveli and Daman and Diu,3281,20,3259,2
2228,15/11/2020,Dadra and Nagar Haveli and Daman and Diu,3285,20,3263,2
2229,16/11/2020,Dadra and Nagar Haveli and Daman and Diu,3291,22,3267,2
2230,17/11/2020,Dadra and Nagar Haveli and Daman and Diu,3294,19,3273,2
2231,18/11/2020,Dadra and Nagar Haveli and Daman and Diu,3297,21,3274,2
2232,19/11/2020,Dadra and Nagar Haveli and Daman and Diu,3305,29,3274,2
2233,20/11/2020,Dadra and Nagar Haveli and Daman and Diu,3307,31,3274,2
2234,21/11/2020,Dadra and Nagar Haveli and Daman and Diu,3316,39,3275,2
2235,22/11/2020,Dadra and Nagar Haveli and Daman and Diu,3317,39,3276,2
2236,23/11/2020,Dadra and Nagar Haveli and Daman and Diu,3321,39,3280,2
2237,24/11/2020,Dadra and Nagar Haveli and Daman and Diu,3325,40,3283,2
2238,25/11/2020,Dadra and Nagar Haveli and Daman and Diu,3325,37,3286,2
2239,26/11/2020,Dadra and Nagar Haveli and Daman and Diu,3327,35,3290,2
2240,27/11/2020,Dadra and Nagar Haveli and Daman and Diu,3328,33,3293,2
2241,28/11/2020,Dadra and Nagar Haveli and Daman and Diu,3330,27,3301,2
2242,29/11/2020,Dadra and Nagar Haveli and Daman and Diu,3330,23,3305,2
2243,30/11/2020,Dadra and Nagar Haveli and Daman and Diu,3332,22,3308,2
2244,01/12/2020,Dadra and Nagar Haveli and Daman and Diu,3332,16,3314,2
2245,12/03/2020,Delhi,6,6,0,0
2246,13/03/2020,Delhi,6,6,0,0
2247,14/03/2020,Delhi,7,5,1,1
2248,15/03/2020,Delhi,7,4,2,1
2249,16/03/2020,Delhi,7,4,2,1
2250,17/03/2020,Delhi,8,5,2,1
2251,18/03/2020,Delhi,10,7,2,1
2252,19/03/2020,Delhi,12,9,2,1
2253,20/03/2020,Delhi,17,13,3,1
2254,21/03/2020,Delhi,26,20,5,1
2255,22/03/2020,Delhi,29,23,5,1
2256,23/03/2020,Delhi,29,23,5,1
2257,24/03/2020,Delhi,31,24,6,1
2258,25/03/2020,Delhi,30,22,6,2
2259,26/03/2020,Delhi,35,28,6,1
2260,27/03/2020,Delhi,36,29,6,1
2261,28/03/2020,Delhi,39,32,6,1
2262,29/03/2020,Delhi,39,31,6,2
2263,30/03/2020,Delhi,53,45,6,2
2264,31/03/2020,Delhi,97,89,6,2
2265,01/04/2020,Delhi,120,112,6,2
2266,02/04/2020,Delhi,152,144,6,2
2267,03/04/2020,Delhi,219,207,8,4
2268,04/04/2020,Delhi,386,372,8,6
2269,05/04/2020,Delhi,445,424,15,6
2270,06/04/2020,Delhi,503,478,18,7
2271,07/04/2020,Delhi,523,497,19,7
2272,08/04/2020,Delhi,576,546,21,9
2273,09/04/2020,Delhi,669,639,21,9
2274,10/04/2020,Delhi,720,683,25,12
2275,11/04/2020,Delhi,903,865,25,13
2276,12/04/2020,Delhi,1069,1025,25,19
2277,13/04/2020,Delhi,1154,1103,27,24
2278,14/04/2020,Delhi,1510,1452,30,28
2279,15/04/2020,Delhi,1561,1501,30,30
2280,16/04/2020,Delhi,1578,1506,40,32
2281,17/04/2020,Delhi,1640,1551,51,38
2282,18/04/2020,Delhi,1707,1593,72,42
2283,19/04/2020,Delhi,1893,1779,72,42
2284,20/04/2020,Delhi,2003,1886,72,45
2285,21/04/2020,Delhi,2081,1603,431,47
2286,22/04/2020,Delhi,2156,1498,611,47
2287,23/04/2020,Delhi,2248,1476,724,48
2288,24/04/2020,Delhi,2376,1518,808,50
2289,25/04/2020,Delhi,2514,1604,857,53
2290,26/04/2020,Delhi,2625,1702,869,54
2291,27/04/2020,Delhi,2918,1987,877,54
2292,28/04/2020,Delhi,3108,2177,877,54
2293,29/04/2020,Delhi,3314,2182,1078,54
2294,30/04/2020,Delhi,3439,2291,1092,56
2295,01/05/2020,Delhi,3515,2362,1094,59
2296,02/05/2020,Delhi,3738,2510,1167,61
2297,03/05/2020,Delhi,4122,2802,1256,64
2298,04/05/2020,Delhi,4549,3123,1362,64
2299,05/05/2020,Delhi,4898,3403,1431,64
2300,06/05/2020,Delhi,5104,3572,1468,64
2301,07/05/2020,Delhi,5532,3925,1542,65
2302,08/05/2020,Delhi,5980,3983,1931,66
2303,09/05/2020,Delhi,6318,4230,2020,68
2304,10/05/2020,Delhi,6542,4449,2020,73
2305,11/05/2020,Delhi,6923,4781,2069,73
2306,12/05/2020,Delhi,7233,5031,2129,73
2307,13/05/2020,Delhi,7639,5041,2512,86
2308,14/05/2020,Delhi,7998,5034,2858,106
2309,15/05/2020,Delhi,8470,5310,3045,115
2310,16/05/2020,Delhi,8895,5254,3518,123
2311,17/05/2020,Delhi,9333,5278,3926,129
2312,18/05/2020,Delhi,10054,5409,4485,160
2313,19/05/2020,Delhi,10054,5401,4485,168
2314,20/05/2020,Delhi,10554,5636,4750,168
2315,21/05/2020,Delhi,11088,5720,5192,176
2316,22/05/2020,Delhi,11659,5898,5567,194
2317,23/05/2020,Delhi,12319,6214,5897,208
2318,24/05/2020,Delhi,12910,6412,6267,231
2319,25/05/2020,Delhi,13418,6617,6540,261
2320,26/05/2020,Delhi,14053,7006,6771,276
2321,27/05/2020,Delhi,14465,6954,7223,288
2322,28/05/2020,Delhi,15257,7690,7264,303
2323,29/05/2020,Delhi,16281,8470,7495,316
2324,30/05/2020,Delhi,17386,9142,7846,398
2325,31/05/2020,Delhi,18549,10058,8075,416
2326,01/06/2020,Delhi,19844,10893,8478,473
2327,02/06/2020,Delhi,20834,11565,8746,523
2328,03/06/2020,Delhi,22132,12333,9243,556
2329,04/06/2020,Delhi,23645,13497,9542,606
2330,05/06/2020,Delhi,25004,14456,9898,650
2331,06/06/2020,Delhi,26334,15311,10315,708
